Global CO2 (ppm),,,,
Year,126,245,370,585
2155,409.41,629.03,1264.45,1786.22
2156,409.10,629.55,1270.10,1795.70
2157,408.80,630.06,1275.70,1805.08
2158,408.51,630.57,1281.23,1814.36
2159,408.22,631.06,1286.70,1823.54
2160,407.95,631.54,1292.11,1832.61
2161,407.68,632.02,1297.47,1841.58
2162,407.42,632.48,1302.76,1850.46
2163,407.17,632.93,1307.99,1859.22
2164,406.93,633.38,1313.16,1867.89
2165,406.70,633.81,1318.26,1876.45
2166,406.48,634.24,1323.31,1884.90
2167,406.26,634.65,1328.29,1893.24
2168,406.05,635.06,1333.21,1901.49
2169,405.86,635.46,1338.07,1909.62
2170,405.67,635.84,1342.87,1917.65
2171,405.49,636.22,1347.60,1925.58
2172,405.31,636.59,1352.27,1933.40
2173,405.15,636.95,1356.88,1941.11
2174,404.99,637.29,1361.42,1948.71
2175,404.84,637.63,1365.90,1956.21
2176,404.70,637.96,1370.32,1963.60
2177,404.57,638.28,1374.67,1970.88
2178,404.45,638.60,1378.96,1978.05
2179,404.33,638.90,1383.18,1985.11
2180,404.23,639.19,1387.34,1992.07
2181,404.13,639.47,1391.44,1998.93
2182,404.03,639.75,1395.47,2005.67
2183,403.95,640.02,1399.43,2012.30
2184,403.87,640.27,1403.33,2018.83
2185,403.80,640.52,1407.16,2025.25
2186,403.74,640.75,1410.93,2031.56
2187,403.69,640.98,1414.64,2037.76
2188,403.64,641.20,1418.27,2043.85
2189,403.60,641.41,1421.85,2049.81
2190,403.58,641.61,1425.35,2055.66
2191,403.55,641.80,1428.80,2061.42
2192,403.53,641.98,1432.17,2067.09
2193,403.51,642.15,1435.48,2072.64
2194,403.47,642.32,1438.72,2078.06
2195,403.44,642.47,1441.90,2083.38
2196,403.40,642.62,1445.01,2088.59
2197,403.36,642.75,1448.05,2093.68
2198,403.31,642.88,1451.03,2098.67
2199,403.26,643.00,1453.94,2103.54
2200,403.21,643.10,1456.79,2108.31
2201,403.16,643.20,1459.57,2112.96
2202,403.10,643.29,1462.28,2117.51
2203,403.05,643.37,1464.92,2121.95
2204,402.99,643.44,1467.50,2126.27
2205,402.93,643.51,1470.01,2130.49
2206,402.87,643.56,1472.46,2134.59
2207,402.80,643.60,1474.83,2138.60
2208,402.74,643.64,1477.14,2142.48
2209,402.68,643.66,1479.39,2146.26
2210,402.61,643.68,1481.56,2149.93
2211,402.54,643.69,1483.67,2153.48
2212,402.48,643.69,1485.72,2156.92
2213,402.41,643.67,1487.69,2160.24
2214,402.34,643.65,1489.60,2163.46
2215,402.27,643.63,1491.44,2166.57
2216,402.20,643.59,1493.22,2169.58
2217,402.13,643.54,1494.92,2172.48
2218,402.06,643.48,1496.56,2175.27
2219,401.99,643.42,1498.14,2177.93
2220,401.92,643.34,1499.64,2180.49
2221,401.85,643.26,1501.08,2182.95
2222,401.78,643.17,1502.45,2185.29
2223,401.70,643.07,1503.76,2187.52
2224,401.63,642.96,1504.99,2189.65
2225,401.56,642.84,1506.16,2191.67
2226,401.49,642.71,1507.26,2193.57
2227,401.41,642.57,1508.30,2195.33
2228,401.34,642.42,1509.27,2197.01
2229,401.27,642.27,1510.17,2198.59
2230,401.19,642.11,1511.00,2200.07
2231,401.12,641.93,1511.77,2201.43
2232,401.05,641.75,1512.47,2202.66
2233,400.97,641.56,1513.10,2203.79
2234,400.90,641.36,1513.67,2204.81
2235,400.83,641.15,1514.17,2205.73
2236,400.75,640.93,1514.60,2206.53
2237,400.68,640.71,1514.97,2207.23
2238,400.60,640.47,1515.27,2207.81
2239,400.53,640.23,1515.50,2208.29
2240,400.45,639.97,1515.66,2208.65
2241,400.38,639.71,1515.76,2208.91
2242,400.31,639.44,1515.79,2209.07
2243,400.23,639.16,1515.76,2209.11
2244,400.16,638.87,1515.66,2209.03
2245,400.08,638.57,1515.49,2208.84
2246,400.01,638.27,1515.25,2208.57
2247,399.94,637.95,1514.95,2208.19
2248,399.86,637.63,1514.58,2207.69
2249,399.79,637.30,1514.15,2207.07
2250,399.71,636.96,1513.65,2206.35
2251,399.64,636.61,1513.08,2205.52
2252,399.57,636.26,1512.48,2204.64
2253,399.49,635.91,1511.89,2203.75
2254,399.42,635.56,1511.29,2202.86
2255,399.34,635.22,1510.69,2201.97
2256,399.27,634.87,1510.10,2201.10
2257,399.19,634.53,1509.50,2200.22
2258,399.12,634.19,1508.89,2199.34
2259,399.04,633.85,1508.29,2198.44
2260,398.97,633.52,1507.68,2197.54
2261,398.89,633.18,1507.08,2196.63
2262,398.81,632.85,1506.47,2195.73
2263,398.74,632.52,1505.86,2194.83
2264,398.66,632.19,1505.24,2193.95
2265,398.58,631.86,1504.63,2193.06
2266,398.51,631.53,1504.01,2192.16
2267,398.43,631.20,1503.39,2191.25
2268,398.35,630.88,1502.77,2190.34
2269,398.27,630.56,1502.15,2189.43
2270,398.20,630.23,1501.53,2188.53
2271,398.12,629.91,1500.90,2187.62
2272,398.05,629.60,1500.28,2186.72
2273,397.97,629.28,1499.66,2185.82
2274,397.89,628.97,1499.03,2184.90
2275,397.82,628.65,1498.40,2183.99
2276,397.74,628.34,1497.78,2183.09
2277,397.66,628.03,1497.15,2182.19
2278,397.59,627.72,1496.52,2181.29
2279,397.51,627.42,1495.89,2180.40
2280,397.44,627.11,1495.27,2179.50
2281,397.36,626.81,1494.64,2178.60
2282,397.29,626.51,1494.01,2177.70
2283,397.21,626.21,1493.38,2176.80
